Lat,Lon
40.7288,-74.0004
40.7074,-73.9491
40.7341,-74.0038
40.7908,-73.9472
40.7225,-74.0036
40.7311,-74.0563
40.7164,-73.9959
40.7346,-73.9923
40.7837,-73.9777
40.7825,-73.9752
40.7325,-74.0057
40.7278,-73.9912
40.6043,-73.9709
40.7244,-73.9972
40.762,-73.9797
40.7218,-73.9849
40.7338,-73.9955
40.7654,-73.9755
40.7261,-73.9982
40.7272,-73.9938
40.6777,-73.9483
40.7256,-74.0055
40.7266,-74.0024
40.757,-73.9821
40.7606,-73.9623
40.6896,-74.1847
40.6889,-74.1848
40.7169,-74.0332
40.7181,-74.0088
40.767,-73.9523
40.7539,-73.9997
40.6827,-73.9423
40.7182,-73.9979
40.7358,-73.9874
40.8202,-73.9554
40.7572,-73.9718
40.7583,-73.9751
40.7392,-73.9937
40.725,-74.0095
40.7834,-73.9589
40.7258,-74.0049
40.7249,-73.9971
40.738,-74.0082
40.7347,-74.0044
40.7836,-73.955
40.685,-73.9999
40.7658,-73.9885
40.7219,-73.9944
40.7395,-73.9793
40.7561,-73.9784
40.7324,-73.9901
40.7594,-73.9735
40.6762,-73.9499
40.6716,-73.9844
40.7341,-73.9891
40.7518,-73.9685
40.6949,-73.934
40.7205,-73.9874
40.7417,-73.9898
40.7341,-74.0047
40.7263,-73.9842
40.7766,-73.9463
40.7658,-73.9634
40.7258,-73.9776
40.7475,-74.0362
40.7437,-73.985
40.777,-73.9535
40.7738,-73.966
40.6867,-73.9765
40.7622,-74.0007
40.7771,-73.9542
40.814,-73.9495
40.7191,-74.0036
40.744,-74.0068
40.716,-74.0045
40.9353,-73.9022
40.7647,-73.9721
40.7271,-73.8533
40.7721,-73.9827
40.7246,-73.9996
40.6843,-73.9775
40.7433,-73.9429
40.7576,-73.9895
40.7183,-73.914
40.7417,-73.997
40.7739,-73.9102
40.6814,-73.9273
40.76,-73.9782
40.7461,-74.0023
40.6665,-73.992
40.7282,-73.9881
40.7529,-73.9813
40.6793,-74.0053
40.7553,-74.0313
40.7445,-73.851
40.7289,-73.9509
40.7286,-73.9818
40.7142,-73.929
40.7285,-74.0071
40.7707,-73.9668
40.7367,-74.033
40.7482,-73.9479
40.704,-74.0116
40.7024,-73.9211
40.7529,-73.9865
40.7369,-74.0037
40.7495,-73.9768
40.717,-73.8443
40.7222,-74.0082
40.7197,-73.9999
40.7545,-73.9315
40.74,-74.0071
40.7295,-73.9897
40.5962,-73.9903
40.7634,-73.9868
40.7594,-73.9945
40.7333,-73.9898
40.7501,-73.978
40.7505,-73.9946
40.7248,-73.9989
40.807,-73.9476
40.7271,-73.9803
40.7631,-73.9743
40.7347,-73.9922
40.7419,-73.9825
40.7139,-73.9545
40.8445,-73.9364
40.7741,-73.8724
40.763,-73.972
40.7595,-73.9911
40.6827,-73.9932
40.6815,-74.0008
40.9568,-73.8528
40.691,-73.9968
40.7237,-74.0036
40.7237,-73.9994
40.6013,-73.9714
40.7507,-73.9801
40.6753,-73.989
40.7445,-73.932
40.6865,-73.9227
40.7449,-73.9912
40.728,-73.9825
40.7584,-73.9824
40.7308,-73.9834
40.6545,-73.9462
40.7226,-73.9979
40.7286,-74.0054
40.708,-74.0095
40.7328,-73.9911
40.7437,-73.9857
40.6781,-73.962
40.6871,-73.9757
40.7756,-73.9535
40.7394,-73.9871
40.7191,-73.9641
40.7967,-73.9712
40.6457,-73.7766
40.7254,-74.0035
40.6905,-74.1777
40.7507,-73.9783
40.7249,-73.9873
40.7257,-74.0058
40.6447,-73.7819
40.7325,-73.9984
40.7277,-73.8605
40.6813,-73.9846
40.7586,-73.9687
40.77,-73.9492
40.7673,-73.8864
40.6987,-73.9382
40.7272,-74.0
40.7505,-73.9792
40.738,-73.9882
40.7679,-73.9915
40.8517,-73.9417
40.7578,-73.9733
40.7516,-74.005
40.7551,-73.995
40.7462,-74.0052
40.7539,-73.9783
40.7587,-73.9719
40.7221,-74.0097
40.7501,-73.9845
40.7306,-73.9926
40.7444,-73.9917
40.7423,-73.9892
40.7382,-74.006
40.7498,-73.9922
40.6853,-73.958
40.7152,-73.9449
40.7087,-73.9507
40.7488,-73.9813
40.6912,-74.1773
40.8003,-73.9427
40.7625,-73.9711
40.7785,-73.9612
40.6877,-73.958
40.7355,-74.0034
40.776,-73.9581
40.7799,-73.9486
40.7186,-74.0044
40.9393,-74.1216
40.7481,-74.3833
40.7271,-73.9914
40.683,-73.9524
40.6748,-73.9978
40.7182,-73.9595
40.7773,-73.9752
40.773,-73.8855
40.7765,-73.96
40.7281,-73.9811
40.7412,-74.0015
40.7529,-73.9885
40.6947,-74.1779
40.7783,-73.9455
40.6832,-73.965
40.7152,-74.016
40.7623,-73.9664
40.7399,-74.0023
40.7175,-73.9839
40.7359,-73.9859
40.7693,-73.9521
40.8561,-73.9364
40.7364,-73.9746
40.6417,-73.7891
40.782,-73.9561
40.739,-73.9797
40.756,-73.973
40.7416,-74.0011
40.7613,-73.9993
40.7671,-73.9818
40.7142,-73.9478
40.7843,-73.9585
40.7469,-73.9845
40.6891,-73.9839
40.7244,-73.9786
40.6914,-73.9597
40.7415,-73.9954
40.7307,-73.9861
40.645,-73.9799
40.7618,-73.9865
40.7035,-74.0099
40.676,-73.9565
40.728,-73.8093
40.7482,-74.0038
40.7448,-73.8432
40.761,-73.98
40.6566,-74.0082
40.7442,-73.9888
40.7701,-73.8656
40.7211,-73.9948
40.6935,-73.9888
40.7918,-73.9391
40.7649,-73.9533
40.7625,-73.9883
40.7092,-73.9685
40.7395,-74.0019
40.7415,-74.0068
40.7678,-73.9917
40.7522,-73.9856
40.6646,-73.9835
40.7384,-73.98
40.735,-74.0015
40.7776,-73.989
40.7557,-73.9871
40.8508,-73.9343
40.7564,-74.0017
40.6566,-73.9584
40.7618,-73.9706
40.7385,-73.9937
40.7157,-73.9915
40.7452,-73.9942
40.7708,-73.9919
40.7444,-73.9915
40.6664,-73.9973
40.7587,-73.9687
40.7113,-73.9615
40.7221,-73.9945
40.7244,-74.0061
40.7528,-73.9856
40.7436,-73.9836
40.7362,-73.988
40.6919,-73.9152
40.7613,-73.9994
40.7673,-73.9564
40.7094,-74.0132
40.722,-73.9882
40.7646,-73.9656
40.786,-73.9529
40.7414,-74.0061
40.7824,-73.9752
40.7317,-73.9893
40.715,-73.9471
40.7645,-73.9828
40.731,-73.9918
40.6471,-73.789
40.7539,-73.9426
40.7466,-73.9838
40.77,-73.8646
40.7186,-73.9606
40.7488,-73.9422
40.835,-73.9378
40.7231,-74.0095
40.6005,-73.9621
40.7884,-73.9768
40.7617,-74.0021
40.7165,-73.9989
40.7181,-73.9903
40.612,-73.9905
40.7619,-73.9728
40.7561,-73.976
40.7293,-73.978
40.7216,-73.9837
40.7558,-73.9918
40.7053,-74.0101
40.7459,-74.0037
40.7798,-73.9879
40.7168,-74.0109
40.7451,-73.9935
40.7202,-73.9791
40.7592,-73.9957
40.7396,-74.0019
40.7451,-73.9949
40.77,-73.8646
40.7073,-74.0123
40.7303,-73.9759
40.6466,-73.7899
40.7384,-73.986
40.7468,-73.986
40.7229,-74.0112
40.7431,-73.9798
40.6411,-73.9683
40.7061,-73.9091
40.7658,-73.9888
40.7298,-73.9914
40.7046,-74.0092
40.7217,-73.9936
40.7333,-73.9933
40.7535,-73.9741
40.7741,-73.8724
40.7777,-73.9488
40.7074,-74.0007
40.7203,-73.9935
40.7226,-74.0035
40.6795,-74.0119
40.7343,-73.9976
40.7652,-73.9638
40.7495,-74.0046
40.7783,-73.9627
40.774,-73.9545
41.0287,-73.7652
40.7516,-73.9941
40.737,-74.0053
40.7281,-73.9928
40.7697,-73.9605
40.7372,-73.9869
40.7293,-73.9961
40.7685,-73.8627
40.7417,-73.9895
40.7585,-73.9686
40.7678,-73.9921
40.7583,-74.0001
40.7666,-73.9961
40.8063,-73.9655
40.703,-73.9866
40.7336,-73.9779
40.7019,-73.9897
40.7417,-73.9332
40.7501,-73.988
40.7307,-73.9924
40.7624,-73.9942
40.7581,-73.9693
40.6899,-73.9683
40.7464,-74.0101
40.9551,-73.8634
40.7189,-74.0111
40.6468,-73.7776
40.7534,-73.9708
40.7509,-73.9855
40.7219,-73.9855
40.706,-74.0096
40.7789,-73.9824
40.75,-73.9835
40.72,-73.9958
40.7287,-74.0053
40.7625,-73.982
40.7162,-74.0046
40.711,-73.9616
40.6957,-73.9671
40.7559,-73.9922
40.7324,-73.9948
40.7229,-74.0001
40.7243,-73.9886
40.8382,-73.9723
40.7271,-73.9896
40.7146,-73.9438
40.9965,-73.6893
40.7322,-73.9961
40.7878,-73.9757
40.7358,-73.9967
40.7111,-74.0061
40.7454,-73.9911
40.7245,-73.9924
40.741,-73.9891
40.7275,-73.9518
40.738,-73.9982
40.7347,-74.0071
40.7216,-73.992
40.7436,-73.9246
40.7675,-73.9562
40.7244,-73.9936
40.7609,-73.9754
40.7561,-73.9862
40.7228,-74.0082
40.7368,-73.9906
40.6676,-73.9399
40.7471,-73.9744
40.7564,-73.9891
40.7415,-73.9934
40.7406,-74.0057
40.7236,-73.9927
40.6448,-73.782
40.7307,-73.9831
40.7456,-73.9946
40.7368,-74.0304
40.7504,-73.9881
40.755,-73.9943
40.6504,-73.9719
40.7064,-73.9525
40.7286,-73.9948
40.7662,-73.9628
40.7503,-73.9739
40.7046,-73.939
40.7111,-73.9606
40.7192,-73.9896
40.7339,-73.9806
40.6484,-73.7833
40.737,-73.9928
40.7708,-73.9569
40.7131,-73.9621
40.7589,-73.9939
40.7234,-73.9967
40.6885,-73.9065
40.7214,-73.9886
40.7385,-73.9916
40.7747,-73.9591
40.7196,-74.0
40.6511,-73.9641
40.7386,-74.0017
40.7463,-73.9724
40.7772,-73.9579
40.7551,-74.0024
40.7496,-73.9926
40.6448,-73.7819
40.7418,-73.9805
40.7178,-74.0047
40.7299,-73.9912
40.7448,-73.9914
40.7632,-73.9809
40.7785,-73.9529
